"RSV_ID","SKU_ID","DC_ID","GID_MKT_CD","RSV_QTY","LST_UPDT_DTTM","LST_UPDT_USER_ID","ORDER_NO","XPCT_SHP_DT"
"201808241348007737930","6025130120402","3314",US,1,2018-08-24 13:48:00,ECOM,,
"201808241358293495650","1448480220005","5589",US,1,2018-08-24 13:58:29,ECOM,,
"201808241432160531550","2172920020612","6210",US,1,2018-08-24 14:32:16,ECOM,,
"201808221807211805030","6364580320001","5368",US,3,2018-08-22 18:15:09,ordervalidate,TK765CX,
"201808241422445611350","2865120325000","5721",US,1,2018-08-24 14:22:44,ECOM,,
"201808241423390312760","2033660021218","3789",US,1,2018-08-24 14:23:39,ECOM,,
"201808241431326499420","2230130120003","5696",US,1,2018-08-24 14:31:32,ECOM,,
"201808241516314351360","2877290221105","6450",US,1,2018-08-24 15:16:31,ECOM,,
"201808241517146930150","2852870320003","6431",US,1,2018-08-24 15:17:14,ECOM,,
"201808221807212150140","6412710020000","5368",US,3,2018-08-22 18:15:09,ordervalidate,TK765CX,
"201808221807211975320","6364580320003","5368",US,5,2018-08-22 18:15:09,ordervalidate,TK765CX,
"201808241517337742740","1446520020003","5355",US,1,2018-08-24 15:17:33,ECOM,,
"201808241519083574180","2225630121106","4510",US,1,2018-08-24 15:19:08,ECOM,,
"201808241519084260480","6218930021108","4510",US,1,2018-08-24 15:19:08,ECOM,,
"201808241519096180510","3407240320002","3774",US,1,2018-08-24 15:19:09,ECOM,,
"201808241519340836350","7731440020003","5316",US,1,2018-08-24 15:19:34,ECOM,,
"201808241522246636940","6364580320004","6030",US,2,2018-08-24 15:22:24,ECOM,,
"201808212304408090570","2045150021602","5892",US,1,2018-08-21 23:34:54,ordervalidate,TK79TYF,
"201808241316392404750","3404450120000","5530",US,1,2018-08-24 13:16:39,ECOM,,
"201808241415595918040","8194832320003","835",US,1,2018-08-24 14:15:59,ECOM,,
"201808241316393235710","2913180321108","5530",US,1,2018-08-24 13:16:39,ECOM,,
"201808241517284837150","2892130020001","4830",US,1,2018-08-24 15:17:28,ECOM,,
"201808241327181856960","2225350521106","5145",US,1,2018-08-24 13:27:18,ECOM,,
"201808241416100274320","3787060220004","6481",US,1,2018-08-24 14:16:10,ECOM,,
"201808241424392422460","2837950820002","5218",US,1,2018-08-24 14:24:39,ECOM,,
"201808241401431855430","2847400120002","6795",US,1,2018-08-24 14:01:43,ECOM,,
"201808241422175310500","2214730320002","5919",US,1,2018-08-24 14:22:17,ECOM,,
"201808241317019019450","2178250120008","6547",US,1,2018-08-24 13:17:01,ECOM,,
"201808241422393420920","7734920123000","5583",US,1,2018-08-24 14:22:39,ECOM,,
"201808191804427946790","2862040020002","6037",US,1,2018-08-19 18:16:29,ordervalidate,TK855VF,
"201808241319419345220","2196280020003","5345",US,1,2018-08-24 13:19:41,ECOM,,
"201808171503524594280","2865180320002","5867",US,1,2018-08-17 15:22:36,ordervalidate,TK8LC3J,
"201808241346004751620","7761810820002","3122",US,1,2018-08-24 13:46:00,ECOM,,
"201808201312541885720","5024170020002","6435",US,1,2018-08-20 13:18:06,ordervalidate,TK7KNBP,
"201808241437364427960","6364580120002","5364",US,2,2018-08-24 14:37:36,ECOM,,
"201808241506336647480","2853710520000","5937",US,1,2018-08-24 15:06:33,ECOM,,
"201808231503156366200","2844250222000","5891",US,1,2018-08-23 15:56:29,ordervalidate,TK71BDD,
"201808241426593532600","7734923021218","5415",US,1,2018-08-24 14:26:59,ECOM,,
"201808241428109011490","3405310220002","5522",US,1,2018-08-24 14:28:10,ECOM,,
"201808241428109167640","1446520320002","5522",US,1,2018-08-24 14:28:10,ECOM,,
"201808241502432410380","2908350120004","3497",US,1,2018-08-24 15:02:43,ECOM,,
"201808241430166263360","1461540022000","6445",US,1,2018-08-24 14:30:16,ECOM,,
"201808241524329146610","2251910720004","6579",US,1,2018-08-24 15:24:32,ECOM,,
"201808241436529129330","6025130120602","6210",US,1,2018-08-24 14:36:52,ECOM,,
"201808241502463032910","1312160020001","6523",US,1,2018-08-24 15:02:46,ECOM,,
"201808241437059494240","1395190920002","7175",US,1,2018-08-24 14:37:05,ECOM,,
"201808241317253886660","1444410620004","5626",US,1,2018-08-24 13:17:25,ECOM,,
"201808241324249213660","1444411620001","5431",US,1,2018-08-24 13:24:24,ECOM,,
"201808241525047170740","6471910021401","6190",US,2,2018-08-24 15:25:04,ECOM,,
"201808241329322131560","3399370020002","5919",US,1,2018-08-24 13:29:32,ECOM,,
"201808241318255096060","7725691620004","6481",US,1,2018-08-24 13:18:25,ECOM,,
"201808241317335888710","3457580124000","3497",US,1,2018-08-24 13:17:33,ECOM,,
"201808241346028170050","2899730120003","3074",US,1,2018-08-24 13:46:02,ECOM,,
"201808241410020466840","9789400022000","7660",US,1,2018-08-24 14:10:02,ECOM,,
"201808241331436879540","8296710120402","3264",US,1,2018-08-24 13:31:43,ECOM,,
"201808241438234948750","2876910020002","5552",US,1,2018-08-24 14:38:23,ECOM,,
"201808241321128490180","2913180421106","6145",US,1,2018-08-24 13:21:12,ECOM,,
"201808241346361478740","9543470621107","5870",US,2,2018-08-24 13:46:36,ECOM,,
"201808241518151168960","4787571724000","5653",US,1,2018-08-24 15:18:15,ECOM,,
"201808241346583473310","2224730020001","5934",US,1,2018-08-24 13:46:58,ECOM,,
"201808241347338639690","3407230120002","4830",US,1,2018-08-24 13:47:33,ECOM,,
"201808241518440144440","2862520023000","3450",US,1,2018-08-24 15:18:44,ECOM,,
"201808241442294319870","2020640520004","5481",US,1,2018-08-24 14:42:29,ECOM,,
"201808241444562702490","2852980320612","3791",US,1,2018-08-24 14:44:56,ECOM,,
"201808241447062631620","2853320820612","3491",US,1,2018-08-24 14:47:06,ECOM,,
"201808241447277110570","6023620121401","5336",US,1,2018-08-24 14:47:27,ECOM,,
"201808241317345486000","2857150020003","5975",US,1,2018-08-24 13:17:34,ECOM,,
"201808241519496339100","2217790020004","3332",US,1,2018-08-24 15:19:49,ECOM,,
"201808241519505269170","1347110020802","6197",US,1,2018-08-24 15:19:50,ECOM,,
"201808241332249213650","2195790720003","9348",US,1,2018-08-24 13:32:24,ECOM,,
"201808241519531373180","2856380120002","3407",US,1,2018-08-24 15:19:53,ECOM,,
"201808241337509889540","1446520320002","5588",US,1,2018-08-24 13:37:50,ECOM,,
"201808241319096637030","4809411221802","7193",US,1,2018-08-24 13:19:09,ECOM,,
"201808241402515492960","2876690321107","3984",US,1,2018-08-24 14:02:51,ECOM,,
"201808241323554632770","2876520220005","5517",US,1,2018-08-24 13:23:55,ECOM,,
"201808241324008656990","3396380020802","3068",US,1,2018-08-24 13:24:00,ECOM,,
"201808241341104554040","1522160720003","6360",US,1,2018-08-24 13:41:10,ECOM,,
"201808241359152768220","2206270121224","5963",US,1,2018-08-24 13:59:15,ECOM,,
"201808241325163300170","2197090620000","6348",US,1,2018-08-24 13:25:16,ECOM,,
"201808241325296143260","2837950420002","3090",US,1,2018-08-24 13:25:29,ECOM,,
"201808171454022778880","5254270221202","5867",US,1,2018-08-17 15:22:36,ordervalidate,TK8LC3J,
"201808241327182099410","3435350221106","5145",US,1,2018-08-24 13:27:18,ECOM,,
"201808241450147484660","2864040024545","5863",US,1,2018-08-24 14:50:14,ECOM,,
"201808241340417630070","2865151221824","5822",US,1,2018-08-24 13:40:41,ECOM,,
"201808241341069870060","3406680021107","3785",US,1,2018-08-24 13:41:06,ECOM,,
"201808241342446465230","2912410425000","2937",US,1,2018-08-24 13:42:44,ECOM,,
"201808241400228098590","2838090120001","5365",US,1,2018-08-24 14:00:22,ECOM,,
"201808241343097836100","2859400620008","6000",US,1,2018-08-24 13:43:09,ECOM,,
"201808241343178783990","7722960220008","6027",US,1,2018-08-24 13:43:17,ECOM,,
"201808241343178991130","2203810223832","6027",US,1,2018-08-24 13:43:17,ECOM,,
"201808241343462427220","2899730120001","6515",US,1,2018-08-24 13:43:46,ECOM,,
"201808241348101540360","2048400220003","5806",US,1,2018-08-24 13:48:10,ECOM,,
"201808241457549204140","2016160620000","3372",US,1,2018-08-24 14:57:54,ECOM,,
"201808241352560591480","2046861520002","6469",US,2,2018-08-24 13:52:56,ECOM,,
"201808241506096004420","2873770220004","5892",US,1,2018-08-24 15:06:09,ECOM,,
"201808241404380560780","3396390021002","3264",US,1,2018-08-24 14:04:38,ECOM,,
"201808241411199594490","3443780120002","5045",US,1,2018-08-24 14:11:19,ECOM,,
"201808241411572517020","2034780720002","5169",US,1,2018-08-24 14:11:57,ECOM,,
"201808241506112335150","2013550020008","3378",US,1,2018-08-24 15:06:11,ECOM,,
"201808241509287383470","7570530320014","6443",US,2,2018-08-24 15:09:28,ECOM,,
"201808241510099000760","1456870021218","6787",US,1,2018-08-24 15:10:09,ECOM,,
"201808241512569807840","2838530021107","6188",US,1,2018-08-24 15:12:56,ECOM,,
"201808241511535685290","7731440020005","3295",US,1,2018-08-24 15:11:53,ECOM,,
"201808241513079797340","2067291120003","5489",US,1,2018-08-24 15:13:07,ECOM,,
"201808241401123698420","2093130021106","6450",US,1,2018-08-24 14:01:12,ECOM,,
"201808241346372165700","1469040422300","6034",US,1,2018-08-24 13:46:37,ECOM,,
"201808191311092129870","2865150724000","5888",US,1,2018-08-19 13:43:29,ordervalidate,TK882YK,
"201808241427074204740","3396370021202","6049",US,1,2018-08-24 14:27:07,ECOM,,
"201808241419023857700","2852190320003","5332",US,1,2018-08-24 14:19:02,ECOM,,
"201808241432277196420","2911890323000","5403",US,1,2018-08-24 14:32:27,ECOM,,
"201808241341550557720","2839280020601","6028",US,1,2018-08-24 13:41:55,ECOM,,
"201808241434229913110","2204550020003","5895",US,1,2018-08-24 14:34:22,ECOM,,
