"DC_ID","ADDR_LN1_TXT","ADDR_LN2_TXT","ADDR_LN3_TXT","CITY_NM","CNTY_NM","ST_PROV_CD","PSTL_CD","CTRY_CD","PHN_NBR","LATITUDE","LONGITUDE","OPR_STRT_TM","OPR_END_TM","CRT_USER_ID","CRT_DTTM","LST_UPDT_USER_ID","LST_UPDT_DTTM"
"1826","2800 WEST BIG BEAVER RD",,,TROY,,MI,"48084",US,"816-9073",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1901","5001 MONROE ST",,,TOLEDO,,OH,"43623",US,"473-1530",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2002","6020 E 82nd Street",,,INDIANAPOLIS,,IN,"46250",US,"842-1261",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2011","800 N GREEN RIVER RD",,,EVANSVILLE,,IN,"47715",US,"474-1263",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2012","3401 S US HIGHWAY 41",,,TERRE HAUTE,,IN,"47802",US,"232-4749",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2013","49 W. MARYLAND STREET",,,INDIANAPOLIS,,IN,"46204",US,"631-0100",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2104","424 SOUTH HILLS VILLAGE",,,PITTSBURGH,,PA,"15241",US,"835-1700",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2109","237 MONROEVILLE MALL BLVD",,,MONROEVILLE,,PA,"15146",US,"856-6260",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2111","5436  WALNUT ST.",,,PITTSBURGH,,PA,"15232",US,"683-8588",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2112","1000 Ross Park Mall Drive",,,ROSS,,PA,"15237",US,"366-8240",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2118","137 W BRIDGE ST",,,HOMESTEAD,,PA,"15120-5042",US,"461-5877",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2120","100 ROBINSON CENTRE DR",,,PITTSBURGH,,PA,"15205-4831",US,"788-8471",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2121","3625 DALLAS HIGHWAY",,,MARIETTA,,GA,"30063",US,"514-0582",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2211","1 MALL RD",,,BURLINGTON,,MA,"01803",US,"273-0550",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2220","210 ANDOVER ST",,,PEABODY,,MA,"01960",US,"531-0229",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2222","663 Stillwater Avenue",,,BANGOR,,ME,"04401",US,"942-9104",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2224","15 BRATTLE ST",,,CAMBRIDGE,,MA,"02138",US,"864-9077",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2226","1245 WORCESTER RD",,,NATICK,,MA,"01760",US,"650-0440",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2227","769 IYANNOUGH ROAD",,,HYANNIS,,MA,"02601",US,"775-8312",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2233","100 HUNTINGTON AVE",,,BOSTON,,MA,"02116-6506",US,"247-1754",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2237","81 Hillside Road",,,CRANSTON,,RI,"02920",US,"944-7010",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2239","38 Nathan Ellis Hwy",,,MASHPEE,,MA,"02649-9998",US,"477-6668",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2240","200 STATE ST",,,BOSTON,,MA,"02109",US,"951-9300",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2242","306 HARVARD ST",,,BROOKLINE,,MA,"02446-2917",US,"738-6625",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2246","1500 S Willow St",,,MANCHESTER,,NH,"03103-3238",US,"666-4206",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2249","101 Independence Mall",,,KINGSTON,,MA,"02364",US,"582-2139",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2252","50 FOX RUN ROAD",,,NEWINGTON,,NH,"03801",US,"433-8403",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2255","74 CENTRAL ST",,,WELLESLEY,,MA,"02482-5714",US,"237-7767",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2256","100 Cambridgeside Place",,,CAMBRIDGE,,MA,"02141",US,"494-9386",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2260","99 ROCKINGHAM PARK BLV",,,SALEM,,NH,"03079",US,"898-0966",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2261","1201 BROADWAY",,,SAUGUS,,MA,"01906",US,"233-8833",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2269","601 DONALD LYNCH BLVD",,,MARLBOROUGH,,MA,"01752",US,"303-0606",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2270","1 Providence Place",,,PROVIDENCE,,RI,"02903",US,"270-4411",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2274","135 N DARTMOUTH MALL",,,NORTH DARTMOUTH,,MA,"02747",US,"993-6404",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2276","4 STEPHEN KING DR",,,AUGUSTA,,ME,"04330",US,"623-2530",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2277","371 PUTNAM PIKE",,,SMITHFIELD,,RI,"02917",US,"233-8266",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2278","249 Hartford Avenue",,,BELLINGHAM,,MA,"02019",US,"966-9300",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2279","95 Washington Street",,,CANTON,,MA,"02021",US,"821-9030",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2282","90 Pleasant Valley Street",,,METHUEN,,MA,"01844",US,"686-9777",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2283","450 PARADISE ROAD",,,SWAMPSCOTT,,MA,"01907",US,"599-9411",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2305","1500 NEW BRITAIN AVE",,,FARMINGTON,,CT,"06032-3184",US,"561-4311",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2311","50 HOLYOKE ST",,,HOLYOKE,,MA,"01040-2709",US,"539-9105",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2312","1201 Boston Post Road",,,MILFORD,,CT,"06460",US,"878-5997",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2313","5065 MAIN ST",,,TRUMBULL,,CT,"06611",US,"374-0800",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2314","100 GREYROCK PLACE",,,STAMFORD,,CT,"06901",US,"327-3448",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2315","2165 Dixwell Avenue",,,HAMDEN,,CT,"06514",US,"248-9742",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2316","850 Hartford Turnpike",,,WATERFORD,,CT,"06385",US,"442-4534",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2321","4403 Juniper Way",,,BEAVER CREEK,,OH,"45440",US,"429-2617",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2322","467 West Avenue",,,NORWALK,,CT,"06850",US,"855-9480",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2329","380 West Main Street",,,AVON,,CT,"06001",US,"674-0440",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2333","440 Main Street",,,RIDGEFIELD,,CT,"06877",US,"438-7009",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2336","775 Main Street South",,,SOUTHBURY,,CT,"06488",US,"267-7766",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2337","2215 BLACK ROCK TPKE",,,FAIRFIELD,,CT,"06825",US,"367-5729",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2339","21 RIVER ROAD",,,WILTON,,CT,"06897",US,"762-2740",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2340","690 Bliss Road",,,LONGMEADOW,,MA,"01106",US,"567-4566",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2401","4545 Transit Rd",,,WILLIAMSVILLE,,NY,"14221",US,"634-7575",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2403","1233 NIAGARA FALLS BLVD",,,AMHERST,,NY,"14226-1104",US,"836-8080",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2407","728  McKinley Mall",,,BUFFALO,,NY,"14219",US,"828-1153",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2409","1 GALLERIA DR",,,CHEEKTOWAGA,,NY,"14225-5134",US,"684-8525",,,2013-01-01 08:00:00,2013-01-01 21:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"2514","3000 E 1ST AVE",,,DENVER,,CO,"80206",US,"388-0992",,,2013-01-01 10:00:00,2013-01-01 23:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
